	GeneID	count	gene_symbol
0	1	36	A1BG
1	2	286	A2M
2	3	6	A2MP1
3	9	252	NAT1
4	10	725	NAT2
5	11	5	NATP
6	12	215	SERPINA3
7	13	31	AADAC
8	14	58	AAMP
9	15	45	AANAT
10	16	95	AARS1
11	17	2	AAVS1
12	18	48	ABAT
13	19	808	ABCA1
14	20	58	ABCA2
15	21	106	ABCA3
16	22	85	ABCB7
17	23	124	ABCF1
18	24	300	ABCA4
19	25	875	ABL1
20	26	55	AOC1
21	27	118	ABL2
22	28	308	ABO
23	29	46	ABR
24	30	56	ACAA1
25	31	192	ACACA
26	32	98	ACACB
27	33	37	ACADL
28	34	138	ACADM
29	35	61	ACADS
30	36	64	ACADSB
31	37	114	ACADVL
32	38	131	ACAT1
33	39	54	ACAT2
34	40	50	ASIC2
35	41	112	ASIC1
36	43	227	ACHE
37	46	1	ACLS
38	47	200	ACLY
39	48	100	ACO1
40	49	40	ACR
41	50	95	ACO2
42	51	66	ACOX1
43	52	166	ACP1
44	53	53	ACP2
45	54	106	ACP5
46	55	102	ACP3
47	56	17	ACRV1
48	58	421	ACTA1
49	59	276	ACTA2
50	60	684	ACTB
51	62	3	ACTBP2
52	63	1	ACTBP3
53	64	1	ACTBP4
54	67	2	ACTBP7
55	68	5	ACTBP8
56	69	1	ACTBP9
57	70	233	ACTC1
58	71	325	ACTG1
59	72	106	ACTG2
60	73	2	ACTG1P1
61	74	2	ACTG1P2
62	75	3	ACTG1P3
63	78	1	ACTG1P6
64	79	1	ACTG1P7
65	80	1	ACTG1P8
66	81	324	ACTN4
67	82	1	ACTG1P9
68	83	1	ACTG1P10
69	86	202	ACTL6A
70	87	289	ACTN1
71	88	145	ACTN2
72	89	244	ACTN3
73	90	174	ACVR1
74	91	104	ACVR1B
75	92	126	ACVR2A
76	93	90	ACVR2B
77	94	187	ACVRL1
78	95	62	ACY1
79	97	20	ACYP1
80	98	54	ACYP2
81	100	257	ADA
82	101	70	ADAM8
83	102	384	ADAM10
84	103	416	ADAR
85	104	112	ADARB1
86	105	36	ADARB2
87	106	3	ADCP1
88	107	53	ADCY1
89	108	47	ADCY2
90	109	72	ADCY3
91	111	78	ADCY5
92	112	73	ADCY6
93	113	47	ADCY7
94	114	50	ADCY8
95	115	68	ADCY9
96	116	150	ADCYAP1
97	117	93	ADCYAP1R1
98	118	256	ADD1
99	119	73	ADD2
100	120	73	ADD3
101	122	2	ADFN
102	123	128	PLIN2
103	124	54	ADH1A
104	125	401	ADH1B
105	126	230	ADH1C
106	127	71	ADH4
107	128	87	ADH5
108	130	28	ADH6
109	131	64	ADH7
110	132	49	ADK
111	133	388	ADM
112	134	142	ADORA1
113	135	386	ADORA2A
114	136	137	ADORA2B
115	137	1	ADORA2BP1
116	140	112	ADORA3
117	141	16	ADPRH
118	142	1371	PARP1
119	143	67	PARP4
120	144	1	PARP1P1
121	145	1	PARP1P2
122	146	64	ADRA1D
123	147	83	ADRA1B
124	148	136	ADRA1A
125	150	236	ADRA2A
126	151	132	ADRA2B
127	152	100	ADRA2C
128	153	385	ADRB1
129	154	1108	ADRB2
130	155	368	ADRB3
131	156	259	GRK2
132	157	59	GRK3
133	158	91	ADSL
134	159	43	ADSS2
135	160	210	AP2A1
136	161	166	AP2A2
137	162	125	AP1B1
138	163	195	AP2B1
139	164	136	AP1G1
140	165	48	AEBP1
141	166	76	TLE5
142	167	16	CRISP1
143	169	1	AF8T
144	170	2	AFA
145	171	9	AFD1
146	172	12	AFG3L1P
147	173	47	AFM
148	174	368	AFP
149	175	64	AGA
150	176	171	ACAN
151	177	986	AGER
152	178	87	AGL
153	179	1	AGMX2
154	181	69	AGRP
155	182	331	JAG1
156	183	1123	AGT
157	185	966	AGTR1
158	186	244	AGTR2
159	187	131	APLNR
160	189	118	AGXT
161	190	160	NR0B1
162	191	167	AHCY
163	192	2	AIC
164	196	718	AHR
165	197	355	AHSG
166	199	93	AIF1
167	201	1	AIH3
168	202	38	CRYBG1
169	203	55	AK1
170	204	76	AK2
171	205	54	AK4
172	206	5	AK4P1
173	207	3541	AKT1
174	208	369	AKT2
175	210	144	ALAD
176	211	73	ALAS1
177	212	72	ALAS2
178	213	692	ALB
179	214	185	ALCAM
180	215	159	ABCD1
181	216	373	ALDH1A1
182	217	763	ALDH2
183	218	75	ALDH3A1
184	219	101	ALDH1B1
185	220	85	ALDH1A3
186	221	37	ALDH3B1
187	222	20	ALDH3B2
188	223	54	ALDH9A1
189	224	135	ALDH3A2
190	225	33	ABCD2
191	226	246	ALDOA
192	228	2	ALDOAP2
193	229	70	ALDOB
194	230	88	ALDOC
195	231	209	AKR1B1
196	236	2	AKR1B1P2
197	238	797	ALK
198	239	167	ALOX12
199	240	324	ALOX5
200	241	153	ALOX5AP
201	242	51	ALOX12B
202	243	1	ALOX12P1
203	245	7	ALOX12P2
204	246	219	ALOX15
205	247	61	ALOX15B
206	248	68	ALPI
207	249	287	ALPL
208	250	106	ALPP
209	251	48	ALPG
210	253	1	ALS3
211	257	19	ALX3
212	258	35	AMBN
213	259	129	AMBP
214	261	1	AMCN
215	262	59	AMD1
216	263	1	AMD1P2
217	265	63	AMELX
218	266	18	AMELY
219	267	163	AMFR
220	268	394	AMH
221	269	85	AMHR2
222	270	99	AMPD1
223	271	52	AMPD2
224	272	32	AMPD3
225	273	84	AMPH
226	274	223	BIN1
227	275	36	AMT
228	276	100	AMY1A
229	277	27	AMY1B
230	278	29	AMY1C
231	279	57	AMY2A
232	280	34	AMY2B
233	281	5	AMYP1
234	282	5	ANCR
235	283	221	ANG
236	284	326	ANGPT1
237	285	497	ANGPT2
238	286	115	ANK1
239	287	117	ANK2
240	288	145	ANK3
241	289	1	ANOP1
242	290	164	ANPEP
243	291	179	SLC25A4
244	292	243	SLC25A5
245	293	193	SLC25A6
246	301	426	ANXA1
247	302	660	ANXA2
248	303	3	ANXA2P1
249	304	33	ANXA2P2
250	305	3	ANXA2P3
251	306	92	ANXA3
252	307	107	ANXA4
253	308	286	ANXA5
254	309	153	ANXA6
255	310	105	ANXA7
256	311	109	ANXA11
257	312	27	ANXA13
258	313	21	AOAH
259	314	15	AOC2
260	316	47	AOX1
261	317	212	APAF1
262	318	32	NUDT2
263	319	26	APOF
264	320	60	APBA1
265	321	65	APBA2
266	322	139	APBB1
267	323	44	APBB2
268	324	957	APC
269	325	108	APCS
270	326	211	AIRE
271	327	60	APEH
272	328	689	APEX1
273	329	318	BIRC2
274	330	292	BIRC3
275	331	626	XIAP
276	332	1320	BIRC5
277	333	61	APLP1
278	334	104	APLP2
279	335	1089	APOA1
280	336	184	APOA2
281	337	220	APOA4
282	338	892	APOB
283	339	51	APOBEC1
284	341	203	APOC1
285	342	8	APOC1P1
286	343	77	AQP8
287	344	141	APOC2
288	345	445	APOC3
289	346	38	APOC4
290	347	131	APOD
291	348	4874	APOE
292	350	252	APOH
293	351	2927	APP
294	353	97	APRT
295	354	466	KLK3
296	355	1232	FAS
297	356	693	FASLG
298	357	27	SHROOM2
299	358	357	AQP1
300	359	191	AQP2
301	360	218	AQP3
302	361	339	AQP4
303	362	172	AQP5
304	363	11	AQP6
305	364	73	AQP7
306	366	113	AQP9
307	367	2588	AR
308	368	142	ABCC6
309	369	122	ARAF
310	372	125	ARCN1
311	373	57	TRIM23
312	374	220	AREG
313	375	263	ARF1
314	377	92	ARF3
315	378	133	ARF4
316	379	23	ARL4D
317	380	1	ARF4P1
318	381	79	ARF5
319	382	285	ARF6
320	383	233	ARG1
321	384	105	ARG2
322	387	1102	RHOA
323	388	171	RHOB
324	389	195	RHOC
325	390	87	RND3
326	391	91	RHOG
327	392	102	ARHGAP1
328	393	41	ARHGAP4
329	394	49	ARHGAP5
330	395	17	ARHGAP6
331	396	186	ARHGDIA
332	397	98	ARHGDIB
333	398	22	ARHGDIG
334	399	52	RHOH
335	400	83	ARL1
336	401	39	PHOX2A
337	402	76	ARL2
338	403	59	ARL3
339	405	294	ARNT
340	406	229	BMAL1
341	407	48	ARR3
342	408	297	ARRB1
343	409	369	ARRB2
344	410	143	ARSA
345	411	79	ARSB
346	412	115	STS
347	413	2	ARSC2
348	414	16	ARSD
349	415	27	ARSL
350	416	15	ARSF
351	417	17	ART1
352	418	4	ART2P
353	419	26	ART3
354	420	29	ART4
355	421	56	ARVCF
356	424	2	ARVD3
357	425	1	ARVD4
358	427	112	ASAH1
359	429	120	ASCL1
360	430	45	ASCL2
361	431	1	ASD1
362	432	74	ASGR1
363	433	50	ASGR2
364	434	43	ASIP
365	435	55	ASL
366	438	36	ASMT
367	439	78	GET3
368	440	134	ASNS
369	442	1	ASNSP2
370	443	52	ASPA
371	444	135	ASPH
372	445	150	ASS1
373	447	2	ASS1P2
374	449	2	ASS1P4
375	450	1	ASS1P5
376	451	4	ASS1P6
377	453	3	ASS1P8
378	454	3	ASS1P9
379	455	2	ASS1P10
380	459	2	ASS1P14
381	460	17	ASTN1
382	462	282	SERPINC1
383	463	110	ZFHX3
384	465	2	ATD
385	466	114	ATF1
386	467	301	ATF3
387	468	343	ATF4
388	469	3	ATF4P1
389	470	1	ATHS
390	471	104	ATIC
391	472	1456	ATM
392	473	60	RERE
393	474	65	ATOH1
394	475	92	ATOX1
395	476	315	ATP1A1
396	477	150	ATP1A2
397	478	131	ATP1A3
398	479	40	ATP12A
399	480	33	ATP1A4
400	481	142	ATP1B1
401	482	54	ATP1B2
402	483	79	ATP1B3
403	484	1	ATP1B3P1
404	485	2	ATP1B1P1
405	486	41	FXYD2
406	487	89	ATP2A1
407	488	346	ATP2A2
408	489	65	ATP2A3
409	490	165	ATP2B1
410	491	70	ATP2B2
411	492	49	ATP2B3
412	493	143	ATP2B4
413	495	37	ATP4A
414	496	29	ATP4B
415	498	298	ATP5F1A
416	501	105	ALDH7A1
417	504	1	ATP5F1AP2
418	506	283	ATP5F1B
419	507	3	ATP5F1BP1
