candidate_gene,neighbors,neighbors_in_seed,neighbors_divide_by_interactome_size,neighbors_in_seed_divide_by_seed_size,ratios,p_value,fdr_bh
ESR1,945,27,0.050762784701332185,0.26732673267326734,5.266195190947666,0.0,0.0
UBC,1281,24,0.0688117748173614,0.2376237623762376,3.453242748162404,0.0,0.0
EGFR,1499,22,0.08052213149978513,0.21782178217821782,2.7051169426482344,0.0,0.0
AR,527,20,0.028308981521272022,0.19801980198019803,6.994946173934282,0.0,0.0
ELAVL1,1804,20,0.09690588740868071,0.19801980198019803,2.04342385458058,0.0,0.0
HDAC1,661,19,0.03550709067468844,0.18811881188118812,5.298063240514671,0.0,0.0
MAPK3,635,18,0.0341104426299957,0.1782178217821782,5.224729087081937,0.0,0.0
CTNNB1,728,18,0.03910614525139665,0.1782178217821782,4.557284299858557,0.0,0.0
MAPK1,669,18,0.0359368285345939,0.1782178217821782,4.9591972650179805,0.0,0.0
EP300,728,18,0.03910614525139665,0.1782178217821782,4.557284299858557,0.0,0.0
HSPA8,692,17,0.03717232488182209,0.16831683168316833,4.5280146511761,0.0,0.0
GRB2,1001,17,0.05377094972067039,0.16831683168316833,3.1302558827311304,0.0,0.0
HSP90AA1,905,17,0.0486140954018049,0.16831683168316833,3.4623051255401784,0.0,0.0
SP1,864,17,0.04641168886978943,0.16831683168316833,3.626604327099377,0.0,0.0
CDK2,906,17,0.04866781263429308,0.16831683168316833,3.4584835967040415,0.0,0.0
NFKB1,717,17,0.03851525569402665,0.16831683168316833,4.370134084538161,0.0,0.0
SMAD3,494,16,0.02653631284916201,0.15841584158415842,5.969775924960917,0.0,0.0
CDK1,725,16,0.0389449935539321,0.15841584158415842,4.067681802663025,0.0,0.0
RPS27A,593,16,0.03185431886549205,0.15841584158415842,4.973135424840966,0.0,0.0
RELA,867,15,0.04657284056725398,0.1485148514851485,3.18887252047004,0.0,0.0
HDAC3,346,15,0.018586162440911044,0.1485148514851485,7.990614090310765,0.0,0.0
UBB,644,15,0.03459389772238934,0.1485148514851485,4.293093905663858,0.0,0.0
CREB1,524,15,0.028147829823807476,0.1485148514851485,5.2762451817700855,0.0,0.0
LMNA,746,14,0.040073055436183926,0.13861386138613863,3.459029012820854,0.0,0.0
HSP90AB1,686,14,0.036850021486892995,0.13861386138613863,3.761567993534048,0.0,0.0
SRC,774,14,0.04157713794585303,0.13861386138613863,3.3338961803157066,0.0,0.0
HIF1A,372,14,0.019982810485603783,0.13861386138613863,6.936654955818162,0.0,0.0
SIRT7,694,14,0.037279759346798454,0.13861386138613863,3.718206979199361,0.0,0.0
NPM1,730,14,0.039213579716373015,0.13861386138613863,3.5348433473484335,0.0,0.0
FLNA,390,14,0.02094972067039106,0.13861386138613863,6.616501650165017,0.0,0.0
SMARCA4,226,14,0.012140094542329179,0.13861386138613863,11.417856829930782,0.0,0.0
H3-4,415,14,0.022292651482595616,0.13861386138613863,6.2179172134080885,0.0,0.0
JUN,620,14,0.03330468414267297,0.13861386138613863,4.161992973490897,0.0,0.0
SNW1,614,14,0.03298238074774388,0.13861386138613863,4.202663914599929,0.0,0.0
SIRT1,307,13,0.01649119037387194,0.12871287128712872,7.804947269971296,0.0,0.0
FOS,487,13,0.026160292221744735,0.12871287128712872,4.92016183137821,0.0,0.0
ABL1,471,13,0.02530081650193382,0.12871287128712872,5.087301086796578,0.0,0.0
RPA2,472,13,0.025354533734422,0.12871287128712872,5.076522906527941,0.0,0.0
PPP1CA,507,13,0.02723463687150838,0.12871287128712872,4.726072607260726,0.0,0.0
STAT3,542,13,0.029114740008594757,0.12871287128712872,4.42088341675496,0.0,0.0
HRAS,459,13,0.024656209712075633,0.12871287128712872,5.220302422399103,0.0,0.0
NCOA3,219,13,0.011764073914911903,0.12871287128712872,10.941181789411818,0.0,0.0
HDAC2,407,13,0.021862913622690158,0.12871287128712872,5.8872698080618875,0.0,0.0
CSNK2A1,718,13,0.03856897292651482,0.12871287128712872,3.3372128299180894,0.0,0.0
CBL,388,13,0.020842286205414697,0.12871287128712872,6.175563948147392,0.0,0.0
PARP1,324,12,0.017404383326171037,0.1188118811881188,6.826549321598826,0.0,0.0
SHC1,422,12,0.022668672110012892,0.1188118811881188,5.241236919900521,0.0,0.0
SMAD2,458,12,0.024602492479587453,0.1188118811881188,4.829261965497859,0.0,0.0
