genes,final_score,initial_score,degree_in_disease,degree_in_background,degree_in_disease_normalized,publications,final_rank,source
TP53,0.0720934572293276,0.251450676982592,0.5383411580594679,0.06865062311989686,7.84175,11045.0,1,seed
PIK3CA,0.03805364530762019,0.258220502901354,0.2190923317683881,0.023635582294800173,9.2696,1628.0,2,seed
MYC,0.031347220857345946,0.155705996131528,0.4538341158059468,0.06467554791577138,7.01709,2476.0,3,seed
CCND1,0.017944769225492024,0.155705996131528,0.17996870109546168,0.013805328749462827,13.03618,1722.0,4,seed
CDH1,0.011918867131706673,0.0938104448742747,0.27543035993740217,0.04109368285345939,6.7025,2130.0,5,seed
BRCA1,0.008729017054336555,0.0203094777562863,0.4287949921752739,0.055328749462827675,7.74995,3285.0,6,seed
FGF3,0.00804337886687397,0.148936170212766,0.08607198748043819,0.005747743876235496,14.97492,54.0,7,seed
FGF4,0.007555748255607293,0.149903288201161,0.07355242566510173,0.0030081650193382035,24.45093,59.0,8,seed
FGF19,0.007075382008995366,0.150870406189555,0.06729264475743349,0.0029007305543618392,23.19852,145.0,9,seed
RAD21,0.006978542490037423,0.137330754352031,0.12519561815336464,0.019230769230769232,6.51017,183.0,10,seed
CTTN,0.00688923474308889,0.140232108317215,0.08607198748043819,0.007090674688440051,12.13876,372.0,11,seed
AKT1,0.006408944786512371,0.02321083172147,0.297339593114241,0.033358401375161155,8.91348,3541.0,12,seed
PTEN,0.006005293739753602,0.0444874274661509,0.18466353677621283,0.019606789858186507,9.41835,2670.0,13,seed
PIK3R1,0.005920730589224797,0.02321083172147,0.26134585289514867,0.03545337344220026,7.37154,830.0,14,seed
ERBB2,0.005622453078150172,0.0222437137330754,0.2347417840375587,0.02675118177911474,8.77501,3213.0,15,seed
ESR1,0.005564535241477577,0.0,0.35837245696400627,0.050762784701332185,7.05975,3509.0,16,first neighbor
EGFR,0.005533924291533929,0.0,0.3568075117370892,0.08052213149978513,4.43117,6391.0,17,first neighbor
MAP3K1,0.005164824139459232,0.062862669245648,0.12989045383411582,0.014342501074344649,9.05633,185.0,18,seed
UBC,0.004622377161713648,0.0,0.2863849765258216,0.0688117748173614,4.16186,1262.0,19,first neighbor
EP300,0.00450579019477715,0.0,0.3161189358372457,0.03910614525139665,8.08361,1271.0,20,first neighbor
RB1,0.00448380416154434,0.0193423597678917,0.2112676056338028,0.017350666093682854,12.17634,1344.0,21,seed
CDK2,0.004261243405651476,0.0,0.2895148669796557,0.04866781263429308,5.9488,866.0,22,first neighbor
GRB2,0.004250854284900978,0.0,0.2644757433489828,0.05377094972067039,4.91856,897.0,23,first neighbor
SP1,0.004148088979326029,0.0,0.29107981220657275,0.04641168886978943,6.27169,1270.0,24,first neighbor
NCOR1,0.00408327546535081,0.0357833655705996,0.15023474178403756,0.012838418564675548,11.70197,352.0,25,seed
SRC,0.004051701022191871,0.0,0.26760563380281693,0.04157713794585303,6.43636,1446.0,26,first neighbor
HSP90AA1,0.00398572489729173,0.0,0.27073552425665104,0.0486140954018049,5.56907,1213.0,27,first neighbor
RELA,0.003951929107764249,0.0,0.27543035993740217,0.04657284056725398,5.91397,1591.0,28,first neighbor
CTNNB1,0.0038796012053477656,0.0,0.2644757433489828,0.03910614525139665,6.76302,3116.0,29,first neighbor
ATM,0.0038624020808175306,0.0154738878143133,0.2050078247261346,0.01949935539321014,10.51357,1456.0,30,seed
MAPK1,0.003839697124566382,0.0,0.25039123630672927,0.0359368285345939,6.96754,2227.0,31,first neighbor
MAPK3,0.003784116433650955,0.0,0.24100156494522693,0.0341104426299957,7.06533,1437.0,32,first neighbor
ELAVL1,0.0037107827591068687,0.0,0.22848200312989045,0.09690588740868071,2.35777,666.0,33,first neighbor
HDAC1,0.0036945646142068677,0.0,0.24726134585289516,0.03550709067468844,6.96372,1215.0,34,first neighbor
AR,0.0036174936676917815,0.0,0.23943661971830987,0.028308981521272022,8.45797,2588.0,35,first neighbor
RUNX1,0.003614335344232015,0.0299806576402321,0.12050078247261346,0.0087559088955737,13.76222,863.0,36,seed
CREBBP,0.003551761117920449,0.0,0.25039123630672927,0.029275891706059303,8.55281,937.0,37,first neighbor
GATA3,0.0034726087715160874,0.0928433268858801,0.06885758998435054,0.007412978083369145,9.28879,474.0,38,seed
STAT3,0.003444122289201293,0.0,0.24100156494522693,0.029114740008594757,8.27765,3371.0,39,first neighbor
ERBB3,0.003403363006436409,0.0135396518375242,0.16118935837245696,0.017780403953588313,9.06556,546.0,40,seed
CDKN1A,0.0033500197637542665,0.0,0.23317683881064163,0.02696605070906747,8.64705,1795.0,41,first neighbor
JUN,0.003206062182701792,0.0,0.22535211267605634,0.03330468414267297,6.76638,1255.0,42,first neighbor
NFKB1,0.0032046458780299637,0.0,0.2190923317683881,0.03851525569402665,5.68846,3250.0,43,first neighbor
CDK1,0.003110810704466869,0.0,0.2112676056338028,0.0389449935539321,5.42477,1039.0,44,first neighbor
RPS27A,0.0030688036232528857,0.0,0.18779342723004694,0.03185431886549205,5.89538,200.0,45,first neighbor
MYH9,0.0030501509262746435,0.0212765957446809,0.13458528951486698,0.019982810485603783,6.73505,556.0,46,seed
MDM2,0.003024655053627671,0.0,0.21439749608763695,0.03013536742587022,7.11448,2114.0,47,first neighbor
SMAD3,0.0029876483888563268,0.0,0.2050078247261346,0.02653631284916201,7.72556,942.0,48,first neighbor
HSP90AB1,0.0029688901635009186,0.0,0.20031298904538342,0.036850021486892995,5.4359,474.0,49,first neighbor
SHC1,0.0029268419114164366,0.0,0.18935837245696402,0.022668672110012892,8.35331,559.0,50,first neighbor
UBB,0.0029236536979882696,0.0,0.18622848200312989,0.03459389772238934,5.38328,290.0,51,first neighbor
NPM1,0.0028463908573923766,0.0,0.18935837245696402,0.039213579716373015,4.8289,1011.0,52,first neighbor
CBL,0.002841875748663988,0.0,0.17370892018779344,0.020842286205414697,8.33445,740.0,53,first neighbor
CASP8,0.0028336905733934116,0.0145067698259188,0.13302034428794993,0.012838418564675548,10.36112,929.0,54,seed
PIK3R2,0.002801716321776875,0.0,0.1784037558685446,0.024441340782122904,7.29926,221.0,55,first neighbor
ASAP1,0.0027563860924270677,0.130560928433269,0.03129890453834116,0.0026321443919209283,11.89103,90.0,56,seed
YWHAZ,0.002753508721530069,0.0,0.19405320813771518,0.03695745595186936,5.25072,662.0,57,first neighbor
CSNK2A1,0.002742940797269019,0.0,0.19248826291079812,0.03856897292651482,4.99075,839.0,58,first neighbor
FBXW7,0.0027100294692343173,0.0135396518375242,0.12832550860719874,0.01240868070477009,10.34159,541.0,59,seed
FADD,0.00269073395430238,0.144100580270793,0.04538341158059468,0.005908895573700043,7.68052,343.0,60,seed
HDAC2,0.0026579679627001585,0.0,0.18153364632237873,0.021862913622690158,8.30327,722.0,61,first neighbor
EIF3H,0.002637042513028638,0.143133462282398,0.03912363067292645,0.006875805758487323,5.69004,146.0,62,seed
GSK3B,0.002630070935195721,0.0,0.18309859154929578,0.028308981521272022,6.46786,1434.0,63,first neighbor
HSPA8,0.002617796777064193,0.0,0.1705790297339593,0.03717232488182209,4.58887,799.0,64,first neighbor
SIRT7,0.0025971879056616294,0.0,0.16588419405320814,0.037279759346798454,4.44971,112.0,65,first neighbor
SNW1,0.002583502124855856,0.0,0.17370892018779344,0.03298238074774388,5.26672,187.0,66,first neighbor
ATAD2,0.002558052506458153,0.130560928433269,0.023474178403755867,0.0011817791147400085,19.86342,93.0,67,seed
E2F1,0.002544509773798079,0.0,0.17214397496087638,0.01928448646325741,8.92655,914.0,68,first neighbor
HIF1A,0.0025338783048271707,0.0,0.16901408450704225,0.019982810485603783,8.45797,3666.0,69,first neighbor
HRAS,0.00252986244778121,0.0,0.15336463223787167,0.024656209712075633,6.22012,797.0,70,first neighbor
FOS,0.002484425341299297,0.0,0.1643192488262911,0.026160292221744735,6.28125,500.0,71,first neighbor
H3C1|H3C10|H3C11|H3C12|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8,0.0024710515148169783,0.0,0.16588419405320814,0.029007305543618394,5.7187,487.0,72,first neighbor
PLCG1,0.002464236626138195,0.0,0.13771517996870108,0.027073485174043833,5.08672,430.0,73,first neighbor
MAPK14,0.0024517352408895974,0.0,0.1784037558685446,0.026106574989256552,6.83367,1407.0,74,first neighbor
PARP1,0.00240327990529388,0.0,0.17370892018779344,0.017404383326171037,9.98076,1371.0,75,first neighbor
PIK3CB,0.0023941284987855013,0.0,0.15179968701095461,0.019767941555651054,7.67908,251.0,76,first neighbor
ABL1,0.002392538498946233,0.0,0.1643192488262911,0.02530081650193382,6.49462,875.0,77,first neighbor
HDAC3,0.002383175555865127,0.0,0.15805946791862285,0.018586162440911044,8.50415,472.0,78,first neighbor
SMAD2,0.002367319434105836,0.0,0.15805946791862285,0.024602492479587453,6.42453,682.0,79,first neighbor
MET,0.002352087167178966,0.0,0.14241001564945227,0.01289213579716373,11.04627,1371.0,80,first neighbor
PPARG,0.002349670076802762,0.0,0.1564945226917058,0.01794155565105286,8.72246,2198.0,81,first neighbor
UBE2I,0.0023072529206731524,0.0,0.15492957746478875,0.03153201547056295,4.91341,553.0,82,first neighbor
MAPK8,0.0023028834860391676,0.0,0.1674491392801252,0.02116458960034379,7.91176,1021.0,83,first neighbor
STAT1,0.002282482957626534,0.0,0.1486697965571205,0.039052428018908465,3.80693,1040.0,84,first neighbor
IKBKG,0.0022796865774436887,0.0,0.16118935837245696,0.026590030081650194,6.06202,506.0,85,first neighbor
FOXA1,0.002252484110128521,0.0261121856866538,0.09702660406885759,0.016920928233777395,5.73412,311.0,86,seed
FYN,0.0022227014341378716,0.0,0.14397496087636932,0.030565105285775676,4.71044,637.0,87,first neighbor
CRK,0.002221621080933954,0.0,0.13145539906103287,0.02701976794155565,4.86516,311.0,88,first neighbor
EWSR1,0.0022205717073643626,0.0,0.14084507042253522,0.03341211860764933,4.21539,411.0,89,first neighbor
KRAS,0.0021770495304669485,0.0,0.12832550860719874,0.016867211001289215,7.60799,2844.0,90,first neighbor
SIRT1,0.002175654906514098,0.0,0.14397496087636932,0.01649119037387194,8.73042,1631.0,91,first neighbor
NRAS,0.0021484286319048695,0.0,0.12989045383411582,0.015040825096691019,8.63586,621.0,92,first neighbor
MED30,0.00213834948237719,0.134429400386847,0.03755868544600939,0.003813923506660937,9.84778,53.0,93,seed
PML,0.0021380745740553968,0.0,0.14710485133020346,0.013912763214439192,10.57337,639.0,94,first neighbor
LMNA,0.0021320507405789627,0.0,0.13615023474178403,0.040073055436183926,3.39755,946.0,95,first neighbor
SHANK2,0.002127459188968091,0.13926499032882,0.017214397496087636,0.0019338203695745595,8.90176,67.0,96,seed
CHD4,0.00212008557518642,0.0203094777562863,0.10328638497652583,0.008218736570691878,12.56719,274.0,97,seed
CDC5L,0.0021179338541657254,0.0,0.14553990610328638,0.03282122905027933,4.43432,201.0,98,first neighbor
PIK3R3,0.002081294442095238,0.0,0.13928012519561817,0.020305113880532875,6.85936,105.0,99,first neighbor
NOTCH1,0.0020683515721573163,0.0,0.13928012519561817,0.01729694886119467,8.05229,1503.0,100,first neighbor
H2AX,0.002055723079285279,0.0,0.14084507042253522,0.01853244520842286,7.59992,530.0,101,first neighbor
CREB1,0.0020419981531894778,0.0,0.13458528951486698,0.028147829823807476,4.78137,696.0,102,first neighbor
SOS1,0.002041229905808466,0.0,0.12363067292644758,0.014987107864202836,8.24913,270.0,103,first neighbor
NCOA3,0.002039644589378529,0.0,0.12989045383411582,0.011764073914911903,11.04128,412.0,104,first neighbor
RPA1,0.0020373423111622463,0.0,0.13771517996870108,0.026482595616673828,5.20021,447.0,105,first neighbor
CDC37,0.0020322608162693105,0.0,0.13771517996870108,0.024495058014611087,5.62216,253.0,106,first neighbor
EZH2,0.0020271383686743796,0.0,0.13458528951486698,0.019660507090674687,6.84546,1386.0,107,first neighbor
H3-4,0.0020218183184663005,0.0,0.1267605633802817,0.022292651482595616,5.6862,290.0,108,first neighbor
PTK2,0.0020138027723203685,0.0,0.12832550860719874,0.016598624838848303,7.73109,1027.0,109,first neighbor
RPA2,0.0020121604207737204,0.0,0.13458528951486698,0.025354533734422,5.30814,248.0,110,first neighbor
EED,0.002009740378946135,0.0,0.14084507042253522,0.026428878384185648,5.32921,150.0,111,first neighbor
IGF1R,0.00200792801614304,0.0,0.12206572769953052,0.012516115169746454,9.75268,1200.0,112,first neighbor
SMAD4,0.0019885307933209164,0.0,0.13928012519561817,0.018854748603351956,7.38701,842.0,113,first neighbor
FLNA,0.001986541266218403,0.0,0.12832550860719874,0.02094972067039106,6.1254,572.0,114,first neighbor
KAT2B,0.001983769540200091,0.0,0.13615023474178403,0.012247529007305543,11.11655,409.0,115,first neighbor
IKBKB,0.001974472645705277,0.0,0.13771517996870108,0.015201976794155565,9.05903,599.0,116,first neighbor
H4-16|H4C1|H4C11|H4C12|H4C13|H4C14|H4C15|H4C2|H4C3|H4C4|H4C5|H4C6|H4C8|H4C9,0.0019675395830744276,0.0,0.13302034428794993,0.023044692737430168,5.77228,,117,first neighbor
CASP3,0.001966909826071345,0.0,0.12519561815336464,0.013751611516974646,9.10407,1203.0,118,first neighbor
CHUK,0.0019462572897307232,0.0,0.12832550860719874,0.012945853029651913,9.91248,530.0,119,first neighbor
PRKCD,0.0019433570795124823,0.0,0.13302034428794993,0.015470562956596476,8.59829,688.0,120,first neighbor
SMARCA4,0.0019384856007778049,0.0,0.12519561815336464,0.012140094542329179,10.31257,634.0,121,first neighbor
NR3C1,0.0019267822033245336,0.0,0.13771517996870108,0.01847872797593468,7.45263,1208.0,122,first neighbor
BTRC,0.0019240901284347258,0.0,0.12206572769953052,0.02213149978513107,5.51547,500.0,123,first neighbor
PLK1,0.0019196999694820129,0.0,0.12989045383411582,0.02798667812634293,4.64115,822.0,124,first neighbor
ERBB4,0.001913624307087031,0.0,0.11267605633802817,0.011012032660077354,10.23209,372.0,125,first neighbor
PPP1CA,0.001859570535282838,0.0,0.12363067292644758,0.02723463687150838,4.53946,366.0,126,first neighbor
TRPS1,0.0018415710535066914,0.140232108317215,0.0297339593114241,0.001557799742157284,19.08715,132.0,127,seed
BRCA2,0.0018296010853169446,0.0193423597678917,0.07668231611893583,0.006392350666093683,11.99595,2089.0,128,seed
PPP1CC,0.0018282980565545847,0.0,0.12206572769953052,0.027825526428878384,4.38683,233.0,129,first neighbor
FOXO3,0.0018268322696880048,0.0,0.12363067292644758,0.011495487752470992,10.75471,739.0,130,first neighbor
NF1,0.0018248858856443027,0.0280464216634429,0.054773082942097026,0.007144391920928234,7.66658,583.0,131,seed
STUB1,0.0018152803258743458,0.0,0.12519561815336464,0.017780403953588313,7.04121,565.0,132,first neighbor
CDK4,0.0017762538788556972,0.0,0.12050078247261346,0.013912763214439192,8.66117,660.0,133,first neighbor
IRS1,0.0017594020732424388,0.0,0.12050078247261346,0.00854103996562097,14.10844,634.0,134,first neighbor
MYB,0.0017575619969881873,0.006769825918762,0.09859154929577466,0.007520412548345509,13.10986,345.0,135,seed
VEGFA,0.00175629978382856,0.0,0.12363067292644758,0.008433605500644608,14.65929,5040.0,136,first neighbor
PRKDC,0.0017557828666681305,0.0,0.1267605633802817,0.015792866351525568,8.02644,769.0,137,first neighbor
HSPA4,0.00175572225568056,0.0,0.12050078247261346,0.016383755908895573,7.35489,831.0,138,first neighbor
TRIM25,0.0017499738094951815,0.0,0.12206572769953052,0.01869359690588741,6.52981,237.0,139,first neighbor
NCOR2,0.0017496545263365653,0.0,0.12363067292644758,0.009991405242801892,12.3737,333.0,140,first neighbor
BMI1,0.0017292061137975997,0.0,0.11580594679186229,0.022238934250107433,5.20735,578.0,141,first neighbor
PDGFRB,0.0017255889633819841,0.0,0.10015649452269171,0.014342501074344649,6.9832,535.0,142,first neighbor
ESR2,0.0017243341986724432,0.0,0.11111111111111112,0.012730984099699184,8.72761,1243.0,143,first neighbor
BCL2,0.0017220814289540024,0.0,0.12519561815336464,0.013053287494628276,9.59112,2163.0,144,first neighbor
PPP1CB,0.0017145550431513445,0.0,0.10641627543035995,0.021218306832831973,5.0153,231.0,145,first neighbor
NCL,0.0017121284530224488,0.0,0.11737089201877934,0.02019767941555651,5.81111,555.0,146,first neighbor
FGFR1,0.0017101518173305431,0.0,0.10172143974960876,0.010528577567683713,9.66146,717.0,147,first neighbor
SOX2,0.001698834435363803,0.0,0.09859154929577466,0.021110872367855606,4.67018,751.0,148,first neighbor
ATR,0.001688698506661738,0.0,0.11424100156494522,0.011119467125053717,10.27396,584.0,149,first neighbor
ETS1,0.0016869227966241507,0.0,0.11267605633802817,0.01337559088955737,8.42401,422.0,150,first neighbor
RAF1,0.0016739304280601127,0.0,0.11424100156494522,0.014235066609368286,8.02532,653.0,151,first neighbor
RPA3,0.0016672347350233457,0.0,0.11424100156494522,0.02315212720240653,4.93436,146.0,152,first neighbor
ACTG1,0.0016660117082493181,0.0,0.10954616588419405,0.017672969488611946,6.19851,325.0,153,first neighbor
IQGAP1,0.0016610681832787836,0.0,0.10954616588419405,0.015524280189084659,7.05644,378.0,154,first neighbor
KDR,0.0016532591461476988,0.0,0.10015649452269171,0.00923936398796734,10.84019,1059.0,155,first neighbor
CEBPB,0.0016511709397181607,0.0,0.11580594679186229,0.01289213579716373,8.98268,490.0,156,first neighbor
PRKCZ,0.0016463533763575984,0.0,0.11267605633802817,0.011549204984959175,9.75617,374.0,157,first neighbor
YWHAE,0.0016185454302367645,0.0,0.10954616588419405,0.026160292221744735,4.1875,484.0,158,first neighbor
FGFR2,0.0016131556692848103,0.0,0.09546165884194054,0.01047486033519553,9.11341,670.0,159,first neighbor
INSR,0.0016103796940397793,0.0,0.09233176838810642,0.011226901590030081,8.22415,705.0,160,first neighbor
SQSTM1,0.0016102029630463185,0.0,0.11111111111111112,0.018908465835840136,5.87626,906.0,161,first neighbor
MEN1,0.0015925012348324615,0.0106382978723404,0.07668231611893583,0.00413622690159003,18.53919,353.0,162,seed
SIN3A,0.0015844402288793915,0.0,0.11111111111111112,0.011925225612376451,9.31732,331.0,163,first neighbor
HSPA1B,0.001570269354006761,0.0,0.107981220657277,0.0175118177911474,6.16619,311.0,164,first neighbor
RXRA,0.0015656095616075755,0.0,0.107981220657277,0.015255694026643748,7.07809,505.0,165,first neighbor
NCOA1,0.001557398483447274,0.0,0.10328638497652583,0.010797163730124624,9.56607,337.0,166,first neighbor
TRIM28,0.001556125592675376,0.0,0.10954616588419405,0.015416845724108294,7.10561,441.0,167,first neighbor
FOXO1,0.0015490674549177921,0.0,0.107981220657277,0.012140094542329179,8.89459,733.0,168,first neighbor
PKM,0.0015473928984540849,0.0,0.11111111111111112,0.01772668672110013,6.26801,682.0,169,first neighbor
PPP2CB,0.00153532319315917,0.0,0.10641627543035995,0.016867211001289215,6.30906,138.0,170,first neighbor
CDC42,0.0015321030018847024,0.0,0.09859154929577466,0.02191663085517834,4.49848,730.0,171,first neighbor
GAB1,0.0015300190290218588,0.0,0.08607198748043819,0.00730554361839278,11.78174,202.0,172,first neighbor
SPTA1,0.001528633601073769,0.0396518375241779,0.06572769953051644,0.005156854318865492,12.7457,157.0,173,seed
ARID1A,0.0015201612095477753,0.0241779497098646,0.05320813771517997,0.0035453373442200257,15.00792,399.0,174,seed
